User ID: 412598, MazePort: 44949, Date & Time: Thu Aug 24 02:02:16 2017
Avatar 0 attempted to move East to (5, 9).
Avatar 3 moved to (8, 6).
Avatar 4 attempted to move West to (8, 6).
Avatar 4 moved to (8, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (8, 6).
Avatar 5 moved to (8, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (3, 5).
Avatar 6 moved to (3, 5).
Avatar 7 attempted to move West to (3, 5).
Avatar 7 moved to (3, 5).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (11, 1).
Avatar 8 moved to (11, 1).
Avatar 0 attempted to move North to (3, 7).
Avatar 0 moved to (3, 7).
Avatar 1 attempted to move North to (3, 7).
Avatar 1 moved to (3, 7).
Avatar 1 is on avatar 0's path.
Avatar 2 attempted to move South to (11, 1).
Avatar 2 moved to (11, 1).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move South to (8, 7).
Avatar 3 moved to (8, 7).
Avatar 4 attempted to move South to (8, 7).
Avatar 4 moved to (8, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (8, 7).
Avatar 5 moved to (8, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (3, 6).
Move failed. South wall added to (3, 5).
Avatar 7 stays at (3, 5).
Avatar 8 attempted to move West to (10, 1).
Avatar 8 moved to (10, 1).
Avatar 0 attempted to move North to (3, 6).
Avatar 0 moved to (3, 6).
Avatar 1 attempted to move North to (3, 6).
Avatar 1 moved to (3, 6).
Avatar 1 is on avatar 0's path.
Avatar 2 attempted to move West to (10, 1).
Avatar 2 moved to (10, 1).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move South to (8, 8).
Avatar 3 moved to (8, 8).
Avatar 4 attempted to move South to (8, 8).
Avatar 4 moved to (8, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (8, 8).
Avatar 5 moved to (8, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (3, 4).
Move failed. North wall added to (3, 5).
Avatar 7 stays at (3, 5).
Avatar 8 attempted to move South to (10, 2).
Move failed. South wall added to (10, 1).
Avatar 0 attempted to move East to (4, 6).
Avatar 0 moved to (4, 6).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (4, 6).
Avatar 1 moved to (4, 6).
Avatar 1 is on avatar 5's path.
Avatar 2 stays at (10, 1).
Avatar 3 attempted to move East to (9, 8).
Avatar 3 moved to (9, 8).
Avatar 4 attempted to move East to (9, 8).
Avatar 4 moved to (9, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (9, 8).
Avatar 5 moved to (9, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (2, 5).
Avatar 6 moved to (2, 5).
Avatar 7 attempted to move West to (2, 5).
Avatar 7 moved to (2, 5).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move North to (10, 0).
Avatar 8 moved to (10, 0).
Avatar 0 attempted to move South to (4, 7).
Avatar 0 moved to (4, 7).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move South to (4, 7).
Avatar 1 moved to (4, 7).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move North to (10, 0).
Avatar 2 moved to (10, 0).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move South to (9, 9).
Avatar 3 moved to (9, 9).
Avatar 4 attempted to move South to (9, 9).
Avatar 4 moved to (9, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (9, 9).
Avatar 5 moved to (9, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (2, 6).
Avatar 6 moved to (2, 6).
Avatar 7 attempted to move South to (2, 6).
Avatar 7 moved to (2, 6).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move West to (9, 0).
Avatar 8 moved to (9, 0).
Avatar 0 attempted to move South to (4, 8).
Avatar 0 moved to (4, 8).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move South to (4, 8).
Avatar 1 moved to (4, 8).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move West to (9, 0).
Avatar 2 moved to (9, 0).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move West to (8, 9).
Avatar 3 moved to (8, 9).
Avatar 4 attempted to move West to (8, 9).
Avatar 4 moved to (8, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (8, 9).
Avatar 5 moved to (8, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (3, 6).
Move failed. East wall added to (2, 6).
Avatar 7 stays at (2, 6).
Avatar 8 attempted to move South to (9, 1).
Move failed. South wall added to (9, 0).
Avatar 0 attempted to move East to (5, 8).
Avatar 0 moved to (5, 8).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (5, 8).
Avatar 1 moved to (5, 8).
Avatar 1 is on avatar 5's path.
Avatar 2 stays at (9, 0).
Avatar 3 attempted to move East to (9, 9).
Avatar 3 moved to (9, 9).
Avatar 4 attempted to move East to (9, 9).
Avatar 4 moved to (9, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (9, 9).
Avatar 5 moved to (9, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (2, 7).
Move failed. South wall added to (2, 6).
Avatar 7 stays at (2, 6).
Avatar 8 attempted to move West to (8, 0).
Avatar 8 moved to (8, 0).
Avatar 0 attempted to move East to (6, 8).
Avatar 0 moved to (6, 8).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (6, 8).
Avatar 1 moved to (6, 8).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move West to (8, 0).
Avatar 2 moved to (8, 0).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move East to (10, 9).
Avatar 3 moved to (10, 9).
Avatar 4 attempted to move East to (10, 9).
Avatar 4 moved to (10, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (10, 9).
Avatar 5 moved to (10, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (1, 6).
Avatar 6 moved to (1, 6).
Avatar 7 attempted to move West to (1, 6).
Avatar 7 moved to (1, 6).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (8, 1).
Avatar 8 moved to (8, 1).
Avatar 0 attempted to move North to (6, 7).
Avatar 0 moved to (6, 7).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move North to (6, 7).
Avatar 1 moved to (6, 7).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move South to (8, 1).
Avatar 2 moved to (8, 1).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move East to (11, 9).
Avatar 3 moved to (11, 9).
Avatar 4 attempted to move East to (11, 9).
Avatar 4 moved to (11, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (11, 9).
Avatar 5 moved to (11, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (1, 7).
Move failed. South wall added to (1, 6).
Avatar 7 stays at (1, 6).
Avatar 8 attempted to move East to (9, 1).
Move failed. East wall added to (8, 1).
Avatar 0 attempted to move East to (7, 7).
Avatar 0 moved to (7, 7).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (7, 7).
Avatar 1 moved to (7, 7).
Avatar 1 is on avatar 5's path.
Avatar 2 stays at (8, 1).
Avatar 3 attempted to move North to (11, 8).
Avatar 3 moved to (11, 8).
Avatar 4 attempted to move North to (11, 8).
Avatar 4 moved to (11, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (11, 8).
Avatar 5 moved to (11, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (1, 5).
Move failed. North wall added to (1, 6).
Avatar 7 stays at (1, 6).
Avatar 8 attempted to move South to (8, 2).
Avatar 8 moved to (8, 2).
Avatar 0 attempted to move North to (7, 6).
Avatar 0 moved to (7, 6).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move North to (7, 6).
Avatar 1 moved to (7, 6).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move South to (8, 2).
Avatar 2 moved to (8, 2).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move West to (10, 8).
Avatar 3 moved to (10, 8).
Avatar 4 attempted to move West to (10, 8).
Avatar 4 moved to (10, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (10, 8).
Avatar 5 moved to (10, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (0, 6).
Avatar 6 moved to (0, 6).
Avatar 7 attempted to move West to (0, 6).
Avatar 7 moved to (0, 6).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (9, 2).
Move failed. East wall added to (8, 2).
Avatar 0 attempted to move North to (7, 5).
Avatar 0 moved to (7, 5).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move North to (7, 5).
Avatar 1 moved to (7, 5).
Avatar 1 is on avatar 5's path.
Avatar 2 stays at (8, 2).
Avatar 3 attempted to move North to (10, 7).
Avatar 3 moved to (10, 7).
Avatar 4 attempted to move North to (10, 7).
Avatar 4 moved to (10, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (10, 7).
Avatar 5 moved to (10, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (0, 7).
Avatar 6 moved to (0, 7).
Avatar 7 attempted to move South to (0, 7).
Avatar 7 moved to (0, 7).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (8, 3).
Avatar 8 moved to (8, 3).
Avatar 0 attempted to move East to (8, 5).
Avatar 0 moved to (8, 5).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (8, 5).
Avatar 1 moved to (8, 5).
Avatar 1 is on avatar 5's path.
Avatar 2 attempted to move South to (8, 3).
Avatar 2 moved to (8, 3).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move North to (10, 6).
Avatar 3 moved to (10, 6).
Avatar 4 attempted to move North to (10, 6).
Avatar 4 moved to (10, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (10, 6).
Avatar 5 moved to (10, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (1, 7).
Avatar 6 moved to (1, 7).
Avatar 7 attempted to move East to (1, 7).
Avatar 7 moved to (1, 7).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (9, 3).
Move failed. East wall added to (8, 3).
Avatar 0 attempted to move East to (9, 5).
Avatar 0 moved to (9, 5).
Avatar 0 is on avatar 5's path.
Avatar 1 attempted to move East to (9, 5).
Avatar 1 moved to (9, 5).
Avatar 1 is on avatar 5's path.
Avatar 2 stays at (8, 3).
Avatar 3 attempted to move North to (10, 5).
Avatar 3 moved to (10, 5).
Avatar 4 attempted to move North to (10, 5).
Avatar 4 moved to (10, 5).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (10, 5).
Avatar 5 moved to (10, 5).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (2, 7).
Avatar 6 moved to (2, 7).
Avatar 7 attempted to move East to (2, 7).
Avatar 7 moved to (2, 7).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (8, 4).
Move failed. South wall added to (8, 3).
Avatar 0 attempted to move South to (9, 6).
Avatar 0 moved to (9, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (9, 6).
Avatar 1 moved to (9, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 stays at (8, 3).
Avatar 3 attempted to move North to (10, 4).
Avatar 3 moved to (10, 4).
Avatar 4 attempted to move North to (10, 4).
Avatar 4 moved to (10, 4).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (10, 4).
Avatar 5 moved to (10, 4).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (3, 7).
Move failed. East wall added to (2, 7).
Avatar 7 stays at (2, 7).
Avatar 8 attempted to move West to (7, 3).
Avatar 8 moved to (7, 3).
Avatar 0 attempted to move West to (8, 6).
Avatar 0 moved to (8, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (8, 6).
Avatar 1 moved to (8, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (7, 3).
Avatar 2 moved to (7, 3).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move North to (10, 3).
Move failed. North wall added to (10, 4).
Avatar 4 stays at (10, 4).
Avatar 5 stays at (10, 4).
Avatar 6 attempted to move South to (2, 8).
Avatar 6 moved to (2, 8).
Avatar 7 attempted to move South to (2, 8).
Avatar 7 moved to (2, 8).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (7, 4).
Avatar 8 moved to (7, 4).
Avatar 0 attempted to move South to (8, 7).
Avatar 0 moved to (8, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (8, 7).
Avatar 1 moved to (8, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (7, 4).
Avatar 2 moved to (7, 4).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move West to (9, 4).
Avatar 3 moved to (9, 4).
Avatar 4 attempted to move West to (9, 4).
Avatar 4 moved to (9, 4).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (9, 4).
Avatar 5 moved to (9, 4).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (2, 9).
Move failed. South wall added to (2, 8).
Avatar 7 stays at (2, 8).
Avatar 8 attempted to move East to (8, 4).
Avatar 8 moved to (8, 4).
Avatar 0 attempted to move South to (8, 8).
Avatar 0 moved to (8, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (8, 8).
Avatar 1 moved to (8, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (8, 4).
Avatar 2 moved to (8, 4).
Avatar 2 is on avatar 8's path.
Avatar 3 attempted to move South to (9, 5).
Move failed. South wall added to (9, 4).
Avatar 4 stays at (9, 4).
Avatar 5 stays at (9, 4).
Avatar 6 attempted to move West to (1, 8).
Avatar 6 moved to (1, 8).
Avatar 7 attempted to move West to (1, 8).
Avatar 7 moved to (1, 8).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (9, 4).
Avatar 8 moved to (9, 4).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (9, 8).
Avatar 0 moved to (9, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (9, 8).
Avatar 1 moved to (9, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (9, 4).
Avatar 2 moved to (9, 4).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (9, 3).
Move failed. North wall added to (9, 4).
Avatar 4 stays at (9, 4).
Avatar 5 stays at (9, 4).
Avatar 6 attempted to move South to (1, 9).
Avatar 6 moved to (1, 9).
Avatar 7 attempted to move South to (1, 9).
Avatar 7 moved to (1, 9).
Avatar 7 is on avatar 6's path.
Avatar 8 stays at (9, 4).
Avatar 0 attempted to move South to (9, 9).
Avatar 0 moved to (9, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (9, 9).
Avatar 1 moved to (9, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 stays at (9, 4).
Avatar 3 attempted to move East to (10, 4).
Avatar 3 moved to (10, 4).
Avatar 4 attempted to move East to (10, 4).
Avatar 4 moved to (10, 4).
Avatar 4 is on avatar 3's path.
